1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-45.19,-21.37,-62.9,-60.45,-42.75,-42.75,-31.14,-66.56,-61.68,-6.11,-3.05,-59.23,-40.3,-31.75,-59.23,-21.37,-61.06,-65.34,-62.9,-48.85
-45.19,-21.37,-62.9,-60.45,-42.75,-42.75,-31.14,-67.17,-61.68,-6.72,-3.66,-59.84,-40.91,-31.14,-59.84,-21.37,-61.06,-65.95,-62.29,-48.85
-45.19,-21.98,-62.29,-59.84,-42.75,-42.75,-32.98,-67.78,-62.29,-6.72,-3.66,-59.84,-40.91,-32.36,-59.84,-21.98,-61.68,-65.95,-62.29,-49.46
-45.19,-21.98,-62.29,-59.84,-42.75,-42.75,-32.98,-68.39,-62.9,-6.72,-4.27,-59.84,-41.52,-32.36,-60.45,-21.98,-61.68,-65.34,-62.9,-49.46
-45.8,-21.98,-62.29,-59.23,-42.75,-43.36,-33.59,-69,-63.51,-6.11,-3.66,-59.84,-40.91,-32.36,-59.84,-21.37,-61.68,-65.95,-62.9,-49.46
-45.8,-21.98,-62.29,-59.23,-42.75,-43.36,-34.81,-69.61,-64.12,-6.11,-4.27,-60.45,-41.52,-33.59,-60.45,-21.98,-61.68,-65.95,-62.9,-49.46
-45.19,-21.98,-61.68,-58.62,-42.13,-43.36,-34.81,-70.22,-64.12,-6.72,-4.27,-60.45,-41.52,-32.98,-59.84,-21.98,-61.68,-65.34,-62.9,-49.46
-45.19,-21.98,-61.68,-58.62,-42.13,-43.36,-36.03,-70.22,-64.12,-6.72,-4.89,-60.45,-42.13,-33.59,-60.45,-22.59,-61.68,-65.95,-62.9,-50.07
-45.19,-21.98,-61.06,-59.23,-42.13,-43.36,-36.03,-70.84,-64.12,-6.11,-5.5,-61.06,-42.13,-33.59,-59.84,-22.59,-61.68,-65.95,-63.51,-49.46
-47.63,-22.59,-61.68,-58.62,-42.13,-42.75,-36.64,-70.84,-64.73,-6.72,-5.5,-61.06,-42.13,-34.2,-59.84,-23.2,-61.68,-65.95,-63.51,-50.07
-47.02,-22.59,-61.68,-59.23,-42.13,-43.36,-37.25,-71.45,-65.34,-6.72,-5.5,-61.06,-42.13,-34.2,-59.84,-23.2,-61.68,-65.34,-63.51,-50.07
-47.63,-22.59,-61.68,-58.62,-42.13,-43.36,-37.86,-72.67,-65.34,-6.72,-6.11,-61.06,-42.75,-34.81,-60.45,-23.2,-61.68,-65.34,-62.9,-50.07
-47.02,-22.59,-61.06,-58.01,-42.13,-43.36,-38.47,-72.06,-65.95,-6.72,-6.11,-61.68,-42.75,-35.42,-59.84,-23.82,-61.68,-65.34,-63.51,-50.68
-47.63,-23.2,-61.06,-58.62,-41.52,-42.75,-39.69,-73.28,-65.95,-6.11,-6.72,-61.68,-43.36,-35.42,-59.84,-23.82,-61.68,-65.34,-63.51,-50.68
-47.02,-23.2,-61.06,-59.23,-41.52,-43.36,-40.3,-73.28,-66.56,-6.11,-6.72,-61.68,-43.97,-36.03,-60.45,-23.2,-61.68,-65.34,-62.9,-50.68
-47.63,-23.2,-60.45,-58.62,-41.52,-43.36,-40.91,-74.5,-67.17,-6.72,-7.33,-61.68,-43.97,-36.03,-60.45,-23.82,-61.68,-65.34,-63.51,-50.68
-47.02,-23.2,-61.06,-58.62,-41.52,-43.97,-41.52,-75.11,-67.17,-6.11,-7.33,-61.68,-43.97,-36.03,-59.84,-23.82,-61.68,-65.34,-63.51,-50.68
